Dis_No,Year,Seq,Disaster_Subtype,Entry_Criteria,Country,ISO,Start_Year,Start_Month,End_Year,End_Month,Total_Deaths,No_Affected,Total_Affected,Total_Damages,CPI
1997-0040-USA,1997,40,Riverine flood,Affect,America,USA,1997,3,1997,3,31,12000,0,500000,62.7858352
1997-0172-USA,1997,172,Riverine flood,Kill,America,USA,1997,8,1997,8,11,350,350,0,62.7858352
1997-0318-USA,1997,318,Riverine flood,SigDam,America,USA,1997,1,1997,1,64,12000,0,245000,62.7858352
1997-0347-USA,1997,347,Riverine flood,SigDam,America,USA,1997,7,1997,8,5,400,424,100000,62.7858352
1997-0127-USA,1997,127,Riverine flood,Affect,America,USA,1997,6,1997,6,2,200,200,0,62.7858352
1997-0215-USA,1997,215,Riverine flood,Declar,America,USA,1997,8,1997,8,64,15000,15000,0,62.7858352
1998-0199-USA,1998,199,Flash flood,Kill,America,USA,1998,6,1998,7,11,9000,14000,469000,63.76045524
1998-0200-USA,1998,200,Flash flood,Declar,America,USA,1998,6,1998,6,64,12000,0,0,63.76045524
1998-0066-USA,1998,66,Riverine flood,Affect,America,USA,1998,3,1998,3,11,18000,18000,270000,63.76045524
1998-0256-USA,1998,256,Riverine flood,Affect,America,USA,1998,8,1998,8,64,1200,1200,60000,63.76045524
1998-0008-USA,1998,8,Riverine flood,Affect,America,USA,1998,1,1998,1,7,2200,2200,0,63.76045524
1998-0605-USA,1998,605,Flash flood,Affected,America,USA,1998,8,1998,8,2,600,600,62500,63.76045524
1998-0606-USA,1998,606,Riverine flood,Affected,America,USA,1998,6,1998,6,64,1000,1000,200500,63.76045524
1999-0740-USA,1999,740,Riverine flood,Affected,America,USA,1999,11,1999,11,64,100,100,300,65.15554686
2000-0080-USA,2000,80,Riverine flood,Affect,America,USA,2000,2,2000,2,3,231,231,0,67.35575898
2000-0500-USA,2000,500,Riverine flood,Affect,America,USA,2000,8,2000,8,64,175,175,166000,67.35575898
2000-0232-USA,2000,232,Flash flood,Affect,America,USA,2000,5,2000,5,2,12000,2000,0,67.35575898
2000-0271-USA,2000,271,Flash flood,Affect,America,USA,2000,5,2000,5,1,300,300,0,67.35575898
2000-0865-USA,2000,865,Riverine flood,Affect,America,USA,2000,11,2000,11,64,100,100,20000,67.35575898
2000-0296-USA,2000,296,Riverine flood,Affect,America,USA,2000,5,2000,5,64,240,240,0,67.35575898
2000-0297-USA,2000,297,Riverine flood,Affect,America,USA,2000,5,2000,5,2,300,300,100000,67.35575898
2000-0502-USA,2000,502,Riverine flood,Affect,America,USA,2000,7,2000,7,64,300,300,0,67.35575898
2002-0404-CAN,2002,404,Riverine flood,Declar/Int,Canada,CAN,2002,6,2002,6,64,12000,0,0,70.35781897
2003-0087-CAN,2003,87,Riverine flood,Affect,Canada,CAN,2003,2,2003,2,64,1100,1100,0,71.95500655
2001-0460-USA,2001,460,Riverine flood,Affect,America,USA,2001,7,2001,7,2,10500,15000,20000,69.25933995
2001-0262-USA,2001,262,Riverine flood,Affect,America,USA,2001,2,2001,3,64,200,200,0,69.25933995
2001-0268-USA,2001,268,Riverine flood,Affect,America,USA,2001,4,2001,5,1,4400,4400,13000,69.25933995
2001-0724-USA,2001,724,Riverine flood,Affect,America,USA,2001,11,2001,11,9,600,600,0,69.25933995
2001-0772-USA,2001,772,Riverine flood,Affect,America,USA,2001,8,2001,8,64,3600,3600,0,69.25933995
2002-0183-USA,2002,183,Riverine flood,Waiting,America,USA,2002,3,2002,3,7,12000,0,0,70.35781897
2002-0266-USA,2002,266,Riverine flood,Affect,America,USA,2002,5,2002,5,9,1000,1000,13000,70.35781897
2002-0411-USA,2002,411,Riverine flood,Kill,America,USA,2002,6,2002,7,10,144000,144000,1000000,70.35781897
2002-0600-USA,2002,600,Riverine flood,Affect,America,USA,2002,9,2002,9,64,750,750,0,70.35781897
2003-0417-CAN,2003,417,Flash flood,Affected,Canada,CAN,2003,8,2003,8,64,400,400,10000,71.95500655
2003-0231-CAN,2003,231,Riverine flood,Affect,Canada,CAN,2003,3,2003,4,2,170,170,10000,71.95500655
2003-0511-CAN,2003,511,Riverine flood,Affected,Canada,CAN,2003,10,2003,10,2,800,800,15000,71.95500655
2004-0346-CAN,2004,346,Flash flood,Declar,Canada,CAN,2004,7,2004,7,64,12000,0,200000,73.88141244
2004-0146-CAN,2004,146,Riverine flood,Affected,Canada,CAN,2004,3,2004,4,64,1000,1000,0,73.88141244
2003-0334-USA,2003,334,Riverine flood,Affected,America,USA,2003,7,2003,7,3,1200,1200,106000,71.95500655
2003-0663-USA,2003,663,Flash flood,Kill,America,USA,2003,11,2003,11,18,12000,0,0,71.95500655
2003-0511-USA,2003,511,Riverine flood,Affected,America,USA,2003,10,2003,10,64,12000,0,0,71.95500655
2003-0756-USA,2003,756,Riverine flood,Affected,America,USA,2003,5,2003,5,3,2000,2000,17000,71.95500655
2004-0146-USA,2004,146,Riverine flood,Affected,America,USA,2004,3,2004,4,64,306,306,4500,73.88141244
2004-0248-USA,2004,248,Riverine flood,Affected,America,USA,2004,5,2004,5,64,4929,4929,0,73.88141244
2004-0572-USA,2004,572,Riverine flood,Affected,America,USA,2004,10,2004,10,64,105,105,1000,73.88141244
2004-0675-USA,2004,675,Riverine flood,SigDam,America,USA,2004,7,2004,7,1,12000,0,500000,73.88141244
2005-0103-USA,2005,103,Riverine flood,Affected,America,USA,2005,2,2005,2,9,150,150,250000,76.38802721
2005-0015-USA,2005,15,Riverine flood,Kill,America,USA,2005,1,2005,1,28,500,508,200000,76.38802721
2005-0203-USA,2005,203,Riverine flood,Affected,America,USA,2005,4,2005,4,2,11000,11000,30000,76.38802721
2005-0591-CAN,2005,591,Riverine flood,Affected,Canada,CAN,2005,9,2005,9,64,600,600,0,76.38802721
2005-0728-CAN,2005,728,Riverine flood,Affected,Canada,CAN,2005,6,2005,7,4,5000,5000,357000,76.38802721
2006-0224-CAN,2006,224,Riverine flood,Affected,Canada,CAN,2006,4,2006,5,64,2000,2000,0,78.85225551
2006-0203-CAN,2006,203,Riverine flood,Affected,Canada,CAN,2006,4,2006,4,64,200,200,0,78.85225551
2006-0206-CAN,2006,206,Riverine flood,Affected,Canada,CAN,2006,4,2006,4,64,1000,1000,0,78.85225551
2006-0261-CAN,2006,261,Riverine flood,Affected,Canada,CAN,2006,5,2006,6,64,300,300,0,78.85225551
2006-0269-CAN,2006,269,Riverine flood,Affected,Canada,CAN,2006,5,2006,5,1,400,400,0,78.85225551
2005-0716-USA,2005,716,Riverine flood,Affected,America,USA,2005,12,2006,1,3,3600,3600,245000,76.38802721
2005-0286-USA,2005,286,Flash flood,Declar,America,USA,2005,5,2005,5,64,12000,0,5330,76.38802721
2005-0583-USA,2005,583,Riverine flood,Kill,America,USA,2005,10,2005,10,11,3000,3000,0,76.38802721
2006-0180-USA,2006,180,Riverine flood,Affected,America,USA,2006,4,2006,4,1,600,600,259000,78.85225551
2006-0182-USA,2006,182,Riverine flood,SigDam,America,USA,2006,3,2006,3,7,12000,0,12000,78.85225551
2006-0341-USA,2006,341,Riverine flood,Kill,America,USA,2006,6,2006,7,11,65000,65000,1000000,78.85225551
2006-0260-USA,2006,260,Riverine flood,Affected,America,USA,2006,5,2006,5,2,2500,2500,85000,78.85225551
2006-0546-USA,2006,546,Riverine flood,Kill,America,USA,2006,9,2006,9,14,1200,1210,0,78.85225551
2006-0344-USA,2006,344,Riverine flood,Affected,America,USA,2006,6,2006,6,2,2400,2400,7000,78.85225551
2006-0413-USA,2006,413,Riverine flood,Affected,America,USA,2006,7,2006,8,64,12000,0,100000,78.85225551
2006-0418-USA,2006,418,Riverine flood,Affected,America,USA,2006,7,2006,7,1,600,600,0,78.85225551
2006-0461-USA,2006,461,Riverine flood,Affected,America,USA,2006,8,2006,8,64,150,150,15500,78.85225551
2006-0566-USA,2006,566,Riverine flood,Affected,America,USA,2006,10,2006,10,64,100,100,0,78.85225551
2006-0598-USA,2006,598,Riverine flood,Affected,America,USA,2006,11,2006,11,2,1500,1500,0,78.85225551
2007-0041-USA,2007,41,Riverine flood,Kill,America,USA,2007,1,2007,1,24,12000,0,0,81.10165893
2007-0165-CAN,2007,165,Riverine flood,Affected,Canada,CAN,2007,6,2007,6,64,500,500,0,81.10165893
2008-0264-CAN,2008,264,Riverine flood,Affected,Canada,CAN,2008,4,2008,5,64,2000,2000,0,84.21522909
2008-0170-CAN,2008,170,Riverine flood,Affected,Canada,CAN,2008,4,2008,4,64,400,400,0,84.21522909
2009-0189-CAN,2009,189,Riverine flood,Affected,Canada,CAN,2009,4,2009,4,64,200,200,0,83.91580741
2007-0383-USA,2007,383,Riverine flood,Kill,America,USA,2007,8,2007,8,26,2800,2840,700000,81.10165893
2007-0244-USA,2007,244,Riverine flood,Affected,America,USA,2007,6,2007,7,8,5000,5000,0,81.10165893
